Yetki,Bölge,Yapılı,Eşyalı,Fiyat,Bölüm,m2,KatSayısı
0,Balgat,0,0,15000,18,800.0,3.0
0,Balgat,1,0,15000,10,440.0,15.0
0,Balgat,0,0,1300,2,65.0,25.0
0,Balgat,0,0,1500,2,70.0,26.0
0,Balgat,1,1,8000,5,470.0,7.0
0,Balgat,0,0,4000,2,75.0,33.0
1,Balgat,0,0,4850,4,150.0,30.0
0,Balgat,0,0,1300,2,65.0,25.0
1,Balgat,0,0,1750,1,55.0,3.0
0,Balgat,0,0,11000,2,180.0,29.0
0,Balgat,0,0,5500,4,150.0,23.0
0,Balgat,0,0,4500,2,118.0,33.0
0,Balgat,0,0,6500,3,150.0,23.0
0,Balgat,0,0,5000,1,150.0,23.0
0,Balgat,0,0,5000,1,144.0,23.0
0,Balgat,0,0,5000,1,144.0,23.0
0,Balgat,0,0,10000,2,288.0,23.0
1,Çukurambar,0,0,6250,5,149.0,20.0
1,Çukurambar,0,0,6500,1,180.0,20.0
1,Çukurambar,1,0,5500,4,200.0,18.0
0,Çukurambar,0,0,6500,4,1.0,18.0
1,Çukurambar,1,1,1400,2,60.0,17.0
0,Çukurambar,0,0,22000,7,298.0,29.0
1,Çukurambar,0,0,5500,3,125.0,21.0
1,Çukurambar,0,0,6250,5,160.0,22.0
0,Çukurambar,0,0,2500,2,50.0,20.0
0,Çukurambar,0,0,80000,10,880.0,28.0
0,Çukurambar,0,0,30000,10,420.0,29.0
0,Çukurambar,0,0,50000,10,502.0,29.0
0,Çukurambar,0,0,80000,20,1000.0,29.0
0,Çukurambar,0,0,3750,3,90.0,12.0
1,Çukurambar,1,0,12500,2,300.0,25.0
0,Çukurambar,0,0,7500,4,180.0,25.0
0,Çukurambar,0,0,16000,2,408.0,25.0
1,Çukurambar,1,0,8000,1,204.0,25.0
0,Çukurambar,0,0,8000,1,204.0,25.0
0,Çukurambar,0,0,7000,2,149.0,20.0
0,Çukurambar,0,0,7000,1,180.0,20.0
1,Çukurambar,0,0,5500,3,85.0,28.0
0,Çukurambar,0,0,14405,1,335.0,28.0
0,Çukurambar,0,0,2795,1,65.0,28.0
0,Çukurambar,0,0,28810,1,670.0,28.0
0,Çukurambar,1,0,8750,2,215.0,25.0
0,Çukurambar,1,0,4000,1,90.0,25.0
0,Çukurambar,0,0,4500,1,99.0,21.0
1,Çukurambar,0,0,10000,1,180.0,28.0
1,Çukurambar,0,0,7500,2,180.0,28.0
1,Çukurambar,0,0,5500,3,90.0,28.0
1,Çukurambar,0,0,5500,3,90.0,28.0
1,Çukurambar,0,0,5000,1,90.0,28.0
1,Çukurambar,0,0,5000,1,90.0,28.0
1,Çukurambar,0,0,6000,3,115.0,23.0
1,Çukurambar,0,0,4000,3,87.0,23.0
0,Çukurambar,0,0,7500,1,175.0,17.0
1,Çukurambar,0,0,4500,3,115.0,22.0
0,Çukurambar,0,0,2900,3,79.0,20.0
1,Çukurambar,0,0,3800,3,110.0,18.0
0,Çukurambar,0,0,6500,5,150.0,15.0
0,Çukurambar,0,0,5000,4,125.0,12.0
1,Çukurambar,1,0,11000,1,200.0,19.0
1,Çukurambar,0,0,1500,2,65.0,25.0
0,Çukurambar,0,0,5000,2,120.0,15.0
0,Çukurambar,1,0,4500,4,105.0,15.0
1,Çukurambar,0,0,23000,10,416.0,33.0
0,Çukurambar,1,0,4000,1,90.0,19.0
1,Çukurambar,0,0,25000,5,405.0,28.0
1,Çukurambar,0,0,30000,5,575.0,28.0
1,Çukurambar,0,0,6800,1,174.0,19.0
1,Çukurambar,0,0,21000,1,522.0,19.0
0,Çukurambar,0,0,14000,1,350.0,19.0
1,Çukurambar,0,0,6800,1,174.0,19.0
1,Çukurambar,1,0,12000,3,450.0,25.0
1,Çukurambar,0,0,4000,1,90.0,25.0
0,Çukurambar,0,0,7000,1,205.0,20.0
1,Çukurambar,1,0,4000,1,90.0,21.0
1,Çukurambar,0,0,9000,1,204.0,19.0
1,Çukurambar,0,0,2500,2,75.0,15.0
0,Çukurambar,0,0,13000,2,336.0,21.0
0,Çukurambar,0,0,8750,5,200.0,21.0
0,Çukurambar,0,0,8750,5,200.0,21.0
1,Çukurambar,0,0,3250,1,116.0,21.0
0,Çukurambar,1,0,16000,6,185.0,32.0
1,Çukurambar,0,0,10000,4,176.0,29.0
1,Çukurambar,0,0,9500,4,180.0,28.0
1,Çukurambar,0,0,10000,2,160.0,28.0
1,Çukurambar,0,0,8000,2,160.0,28.0
1,Çukurambar,0,0,9000,2,180.0,28.0
1,Çukurambar,0,0,10000,2,180.0,28.0
1,Çukurambar,0,0,60000,8,880.0,28.0
1,Çukurambar,0,0,7000,6,440.0,29.0
0,Çukurambar,0,0,7350,1,174.0,14.0
0,Çukurambar,0,0,27000,1,440.0,28.0
1,Çukurambar,0,0,4000,1,100.0,27.0
0,Çukurambar,1,0,20000,2,416.0,33.0
1,Çukurambar,1,0,3250,4,64.0,33.0
1,Çukurambar,0,0,10000,1,180.0,19.0
1,Çukurambar,0,0,6000,2,300.0,27.0
1,Çukurambar,0,0,19000,2,400.0,19.0
1,Çukurambar,0,0,9000,2,200.0,27.0
1,Çukurambar,0,0,10000,2,250.0,27.0
0,Çukurambar,0,0,6000,1,120.0,15.0
0,Çukurambar,0,0,20000,4,280.0,22.0
0,Çukurambar,0,0,5000,1,170.0,15.0
0,Çukurambar,0,0,60000,22,1150.0,30.0
0,Çukurambar,0,0,32500,4,1306.0,30.0
0,Çukurambar,0,0,4000,1,100.0,15.0
1,Kızılay,0,0,15000,21,1000.0,6.0
1,Mustafa Kemal,1,0,2350,1,77.0,22.0
1,Mustafa Kemal,0,0,3500,2,65.0,30.0
1,Mustafa Kemal,0,0,3250,4,115.0,4.0
1,Mustafa Kemal,0,0,3250,3,110.0,4.0
1,Mustafa Kemal,0,0,2650,4,115.0,4.0
1,Mustafa Kemal,0,0,3500,4,130.0,4.0
1,Mustafa Kemal,0,0,3600,1,161.0,9.0
1,Mustafa Kemal,0,0,5250,1,140.0,5.0
1,Mustafa Kemal,0,0,2850,3,110.0,5.0
1,Mustafa Kemal,1,0,3000,1,77.0,6.0
0,Mustafa Kemal,0,0,6000,3,133.0,22.0
0,Mustafa Kemal,0,0,5250,1,168.0,20.0
1,Mustafa Kemal,1,0,3000,1,77.0,6.0
1,Mustafa Kemal,0,0,42000,1,1024.0,20.0
1,Mustafa Kemal,0,0,5750,1,140.0,20.0
1,Mustafa Kemal,0,0,24500,1,512.0,20.0
0,Mustafa Kemal,1,0,1800,2,61.0,5.0
1,Mustafa Kemal,0,0,3500,4,140.0,4.0
1,Mustafa Kemal,0,0,2750,4,106.0,5.0
1,Mustafa Kemal,0,0,18800,1,392.0,20.0
1,Mustafa Kemal,0,0,16300,1,340.0,20.0
1,Mustafa Kemal,0,0,10500,1,220.0,20.0
1,Mustafa Kemal,0,0,3700,4,190.0,4.0
1,Mustafa Kemal,1,0,4000,1,90.0,22.0
1,Mustafa Kemal,0,0,12500,1,305.0,20.0
1,Mustafa Kemal,1,0,9900,1,208.0,20.0
1,Mustafa Kemal,0,0,4200,1,88.0,20.0
1,Mustafa Kemal,0,0,3600,1,161.0,9.0
1,Mustafa Kemal,1,0,2600,1,78.0,22.0
1,Mustafa Kemal,1,0,4550,2,118.0,22.0
1,Mustafa Kemal,1,0,2800,1,78.0,22.0
1,Mustafa Kemal,0,0,7000,1,172.0,20.0
1,Mustafa Kemal,0,0,5400,1,132.0,20.0
1,Mustafa Kemal,0,0,4900,1,120.0,20.0
1,Mustafa Kemal,0,0,2850,3,110.0,4.0
1,Mustafa Kemal,0,0,4000,4,150.0,4.0
0,Mustafa Kemal,0,0,2750,3,100.0,4.0
1,Mustafa Kemal,1,0,4000,2,85.0,18.0
0,Mustafa Kemal,0,0,5000,1,140.0,4.0
1,Mustafa Kemal,1,0,3600,1,161.0,9.0
0,Mustafa Kemal,0,0,2750,1,85.0,4.0
0,Mustafa Kemal,0,0,2800,1,85.0,4.0
1,Mustafa Kemal,1,0,3100,1,80.0,22.0
1,Mustafa Kemal,0,0,7000,1,135.0,18.0
0,Mustafa Kemal,0,0,8000,2,310.0,3.0
1,Mustafa Kemal,1,0,11000,1,285.0,18.0
1,Mustafa Kemal,0,0,3600,1,161.0,9.0
1,Mustafa Kemal,1,0,4650,2,100.0,22.0
1,Mustafa Kemal,1,0,5000,1,108.0,22.0
1,Mustafa Kemal,1,0,5600,1,112.0,22.0
1,Mustafa Kemal,1,0,3500,1,78.0,22.0
1,Mustafa Kemal,0,0,4000,6,270.0,5.0
1,Mustafa Kemal,0,0,3600,1,161.0,9.0
1,Mustafa Kemal,1,0,2650,3,80.0,4.0
1,Mustafa Kemal,0,0,5000,1,154.0,4.0
1,Mustafa Kemal,0,0,4250,6,160.0,7.0
1,Mustafa Kemal,0,0,2250,3,80.0,7.0
1,Mustafa Kemal,0,0,2250,3,80.0,7.0
1,Mustafa Kemal,0,0,2500,1,85.0,4.0
0,Mustafa Kemal,0,0,7000,3,144.0,18.0
1,Mustafa Kemal,1,0,3500,1,70.0,22.0
1,Mustafa Kemal,1,0,4350,1,88.0,22.0
0,Mustafa Kemal,0,0,6250,3,144.0,18.0
1,Mustafa Kemal,1,0,3000,1,60.0,22.0
1,Mustafa Kemal,1,0,3750,1,75.0,22.0
1,Mustafa Kemal,1,0,3750,1,75.0,22.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,3600,1,161.0,9.0
1,Mustafa Kemal,1,0,10500,4,197.0,22.0
1,Mustafa Kemal,0,0,4750,4,112.0,5.0
1,Mustafa Kemal,0,0,8750,7,212.0,5.0
1,Mustafa Kemal,0,0,4000,3,100.0,5.0
0,Mustafa Kemal,0,0,6000,1,200.0,9.0
1,Mustafa Kemal,1,0,4200,4,117.0,9.0
1,Mustafa Kemal,1,0,3450,1,91.0,22.0
0,Mustafa Kemal,0,0,4100,4,118.0,9.0
0,Mustafa Kemal,0,0,6250,3,144.0,18.0
1,Mustafa Kemal,0,0,4100,3,72.0,10.0
0,Mustafa Kemal,0,0,7000,2,144.0,18.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4225,1,88.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
0,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,6300,1,140.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,9360,1,208.0,20.0
1,Mustafa Kemal,0,0,9360,1,208.0,20.0
1,Mustafa Kemal,0,0,9360,1,208.0,20.0
1,Mustafa Kemal,0,0,13725,1,305.0,20.0
1,Mustafa Kemal,0,0,23040,1,512.0,20.0
1,Mustafa Kemal,0,0,23040,1,512.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,6300,1,140.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5400,1,120.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,5950,1,132.0,20.0
1,Mustafa Kemal,0,0,6300,1,140.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,7740,1,172.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
1,Mustafa Kemal,0,0,4000,1,88.0,20.0
0,Mustafa Kemal,1,0,7500,2,200.0,12.0
1,Mustafa Kemal,1,0,2300,1,77.0,22.0
1,Mustafa Kemal,1,0,4600,2,118.0,22.0
0,Mustafa Kemal,0,0,4000,3,140.0,5.0
1,Mustafa Kemal,0,0,10000,7,234.0,18.0
0,Mustafa Kemal,0,0,25000,1,430.0,4.0
0,Mustafa Kemal,1,0,4500,4,145.0,3.0
0,Mustafa Kemal,0,0,15000,1,452.0,4.0
1,Mustafa Kemal,0,0,3500,6,140.0,5.0
1,Mustafa Kemal,0,0,3400,6,140.0,5.0
1,Mustafa Kemal,0,0,2000,3,75.0,5.0
1,Mustafa Kemal,0,0,3500,6,140.0,5.0
1,Mustafa Kemal,0,0,2400,3,75.0,5.0
1,Mustafa Kemal,0,0,1800,3,75.0,5.0
